epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3110.21,1.11671,1.40678,0.71622,1.07804,0.87187,0.9163,0.92866,0.66497,0.87529,0.91235,0.93204,0.64375,1.0492,1.35177,0.62403,1.06612,0.00103288,0.00103288,0.00103288
30,3216.75,1.05872,1.33236,0.68949,1.06953,0.87813,0.89911,0.92026,0.65855,0.87582,0.90688,0.92269,0.62282,1.03035,1.36585,0.63634,1.07953,0.00101873,0.00101873,0.00101873
31,3322.89,1.07142,1.34421,0.70444,1.07135,0.84973,0.85728,0.89131,0.64095,0.8553,0.86346,0.89659,0.616,0.99863,1.39792,0.68447,1.06594,0.00100459,0.00100459,0.00100459
32,3429.64,1.05366,1.35584,0.68778,1.04828,0.87077,0.90676,0.91993,0.65691,0.89091,0.89199,0.92507,0.63143,1.01116,1.3481,0.60822,1.07518,0.00099044,0.00099044,0.00099044
33,3536.11,1.04006,1.31753,0.67361,1.05388,0.88754,0.88175,0.91872,0.66661,0.88994,0.88398,0.9202,0.62755,1.0122,1.46393,0.64506,1.07157,0.000976293,0.000976293,0.000976293
34,3642.88,1.03697,1.31071,0.67242,1.04733,0.88121,0.8885,0.92659,0.67824,0.88334,0.89072,0.93041,0.64139,0.98672,1.30999,0.63141,1.06156,0.000962146,0.000962146,0.000962146
35,3749.56,1.04482,1.3019,0.67117,1.05157,0.89891,0.88846,0.91572,0.66718,0.90311,0.89349,0.92149,0.62781,1.00294,1.30701,0.63607,1.05938,0.000947999,0.000947999,0.000947999
36,3856.16,1.01874,1.29809,0.65023,1.04179,0.90114,0.92132,0.93115,0.6726,0.90543,0.92576,0.93517,0.63294,0.97963,1.32212,0.60603,1.04766,0.000933851,0.000933851,0.000933851
37,3963.04,1.02966,1.30109,0.66602,1.04601,0.8761,0.90617,0.90021,0.66287,0.87827,0.9084,0.90322,0.59754,0.97622,1.33843,0.67619,1.0371,0.000919704,0.000919704,0.000919704
38,4069.32,1.00224,1.28766,0.6522,1.04334,0.91259,0.89506,0.93824,0.69604,0.91719,0.89951,0.94181,0.66056,0.95091,1.30942,0.6026,1.02508,0.000905557,0.000905557,0.000905557
39,4175.85,0.99627,1.2782,0.6422,1.02166,0.90848,0.89514,0.9362,0.68719,0.90848,0.89514,0.93455,0.63951,1.00217,1.30094,0.60804,1.04749,0.00089141,0.00089141,0.00089141
40,4282.53,0.99744,1.26176,0.63969,1.0299,0.888,0.90914,0.92653,0.67284,0.90624,0.91541,0.93294,0.6444,0.96819,1.30854,0.59143,1.0675,0.000877263,0.000877263,0.000877263
41,4388.73,0.98412,1.28126,0.62492,1.02457,0.86679,0.92915,0.92658,0.68111,0.87617,0.94089,0.93311,0.64837,0.94684,1.24385,0.60934,1.03208,0.000863116,0.000863116,0.000863116
42,4495.28,1.00727,1.31469,0.63908,1.03839,0.90105,0.90855,0.94164,0.70225,0.90404,0.92624,0.95349,0.67095,0.92322,1.22033,0.57454,1.01187,0.000848969,0.000848969,0.000848969
43,4601.88,0.99953,1.28802,0.63528,1.02177,0.9104,0.91488,0.93757,0.69101,0.91431,0.92041,0.94323,0.65645,0.94722,1.25086,0.58791,1.03149,0.000834822,0.000834822,0.000834822
44,4708.17,1.00244,1.24077,0.62827,1.03582,0.90625,0.9158,0.93207,0.67806,0.91442,0.9242,0.94184,0.64719,1.01148,1.28718,0.6071,1.05552,0.000820675,0.000820675,0.000820675
45,4814.22,1.00026,1.25002,0.63682,1.03458,0.88375,0.92691,0.91266,0.66788,0.896,0.93975,0.91946,0.63991,0.95395,1.16242,0.56647,1.04167,0.000806528,0.000806528,0.000806528
46,4920.89,0.9917,1.25234,0.62631,1.03024,0.8897,0.90631,0.91624,0.6645,0.88812,0.90482,0.92147,0.62873,1.00542,1.30832,0.61815,1.07393,0.00079238,0.00079238,0.00079238
47,5027.4,0.99009,1.25215,0.62089,1.03117,0.88713,0.90074,0.92664,0.66448,0.89562,0.90914,0.93337,0.63401,0.97755,1.25208,0.5812,1.05949,0.000778233,0.000778233,0.000778233
48,5133.96,0.98278,1.21329,0.5955,1.01936,0.92051,0.92039,0.94444,0.70367,0.92231,0.92354,0.94743,0.67274,0.99682,1.26497,0.56264,1.04338,0.000764086,0.000764086,0.000764086
49,5240.97,1.01758,1.29496,0.62488,1.03132,0.92021,0.90008,0.94526,0.69012,0.92262,0.90231,0.94787,0.66817,0.95428,1.30533,0.55962,1.04988,0.000749939,0.000749939,0.000749939
50,5347.64,0.96304,1.24201,0.59884,1.01289,0.89152,0.91136,0.92283,0.68931,0.89957,0.91975,0.92886,0.64732,0.95033,1.26667,0.58781,1.03443,0.000735792,0.000735792,0.000735792
51,5454.31,0.9584,1.21157,0.59361,1.01016,0.89021,0.93975,0.93861,0.69804,0.88869,0.93975,0.94022,0.66982,0.93949,1.23472,0.56875,1.01368,0.000721645,0.000721645,0.000721645
52,5560.55,0.96319,1.18974,0.59723,1.01991,0.89815,0.91506,0.92573,0.68086,0.91126,0.93334,0.93718,0.66082,0.94759,1.25816,0.58949,1.03593,0.000707498,0.000707498,0.000707498
53,5666.88,0.95944,1.21054,0.61068,1.02111,0.91027,0.90963,0.93322,0.68334,0.91634,0.9158,0.93599,0.64598,0.9958,1.32431,0.58249,1.03828,0.000693351,0.000693351,0.000693351
54,5773.4,0.91821,1.20581,0.58138,0.99509,0.89927,0.93975,0.93037,0.69087,0.9095,0.95037,0.93975,0.64286,0.94856,1.27739,0.57333,1.03487,0.000679204,0.000679204,0.000679204
55,5880.21,0.94522,1.17322,0.58225,1.01174,0.89322,0.92972,0.94094,0.70727,0.89756,0.93416,0.94317,0.65912,0.95627,1.24217,0.56065,1.03451,0.000665057,0.000665057,0.000665057
56,5986.63,0.94313,1.21552,0.57601,1.00441,0.87631,0.92963,0.93899,0.71914,0.88071,0.93407,0.93762,0.67372,0.92287,1.30718,0.5366,1.02021,0.000650909,0.000650909,0.000650909
57,6093.28,0.94013,1.17958,0.56821,1.01351,0.90322,0.92691,0.93096,0.70081,0.91923,0.9437,0.94137,0.65686,0.93276,1.22196,0.54592,1.03781,0.000636762,0.000636762,0.000636762
58,6199.99,0.92344,1.18801,0.57338,1.00359,0.91018,0.89756,0.93006,0.71068,0.91634,0.90374,0.93825,0.67674,0.91352,1.22937,0.53297,1.02978,0.000622615,0.000622615,0.000622615
59,6306.51,0.94138,1.14854,0.58392,1.01643,0.90542,0.92074,0.94278,0.71286,0.91362,0.92914,0.94925,0.67789,0.91183,1.1788,0.54572,1.01244,0.000608468,0.000608468,0.000608468
60,6413,0.92688,1.16976,0.57461,0.99901,0.88246,0.92864,0.9203,0.70176,0.88555,0.93309,0.92569,0.65611,0.93034,1.22642,0.57311,1.02478,0.000594321,0.000594321,0.000594321
61,6519.56,0.92259,1.16596,0.56749,0.99941,0.91381,0.9271,0.94959,0.73252,0.91976,0.93328,0.95632,0.68368,0.86152,1.19053,0.53231,0.99683,0.000580174,0.000580174,0.000580174
62,6626.7,0.91062,1.15424,0.56262,0.9944,0.90379,0.91107,0.94757,0.69294,0.90975,0.91724,0.95378,0.66172,0.9767,1.22793,0.5573,1.05421,0.000566027,0.000566027,0.000566027
63,6738.82,0.91334,1.19284,0.58313,0.99742,0.9108,0.89667,0.93164,0.70663,0.90634,0.93457,0.94545,0.65738,0.92915,1.24114,0.54061,1.01827,0.00055188,0.00055188,0.00055188
64,6845.5,0.88377,1.14504,0.54918,0.98761,0.93528,0.90344,0.95011,0.73017,0.93528,0.90344,0.95172,0.68749,0.89319,1.2437,0.54432,1.01399,0.000537733,0.000537733,0.000537733
65,6952.16,0.90936,1.14247,0.55543,0.99668,0.88605,0.9357,0.94296,0.70811,0.89034,0.94014,0.94831,0.66876,0.93439,1.22604,0.5469,1.03138,0.000523586,0.000523586,0.000523586
66,7058.56,0.87162,1.09422,0.54366,0.98135,0.91796,0.91321,0.94057,0.73031,0.92635,0.9216,0.95057,0.67966,0.92097,1.19974,0.53592,1.02691,0.000509438,0.000509438,0.000509438
67,7165.17,0.90582,1.12152,0.55552,0.99623,0.90308,0.91232,0.93685,0.71783,0.91105,0.92642,0.94547,0.67685,0.90435,1.27033,0.52699,1.01479,0.000495291,0.000495291,0.000495291
68,7271.74,0.86753,1.08885,0.54313,0.98406,0.90551,0.92736,0.94447,0.71976,0.90774,0.92958,0.94974,0.67802,0.88982,1.20621,0.51023,1.00822,0.000481144,0.000481144,0.000481144
69,7378.12,0.87665,1.12814,0.5376,0.97993,0.91274,0.93624,0.94277,0.73111,0.91868,0.94228,0.95057,0.69008,0.87187,1.22554,0.50941,1.00007,0.000466997,0.000466997,0.000466997
70,7484.49,0.88598,1.11841,0.53176,0.98479,0.88882,0.94112,0.94083,0.70908,0.925,0.93008,0.94793,0.66175,0.91531,1.21453,0.52657,1.01801,0.00045285,0.00045285,0.00045285
71,7591.27,0.87431,1.09778,0.53165,0.97808,0.89112,0.93826,0.94736,0.73255,0.90556,0.95272,0.95751,0.68498,0.87528,1.23229,0.52002,1.00389,0.000438703,0.000438703,0.000438703
72,7697.68,0.86949,1.0946,0.52309,0.9813,0.91645,0.9035,0.94652,0.72834,0.91535,0.93309,0.95252,0.68026,0.89837,1.22779,0.51453,1.02196,0.000424556,0.000424556,0.000424556
73,7804.2,0.861,1.10914,0.52879,0.97102,0.91029,0.91407,0.94277,0.72552,0.92342,0.92691,0.95541,0.69271,0.90706,1.18228,0.52273,1.02425,0.000410409,0.000410409,0.000410409
74,7911.03,0.84155,1.09351,0.51751,0.9756,0.90381,0.91782,0.94146,0.72657,0.91421,0.92844,0.95318,0.68214,0.87954,1.1888,0.52147,1.01058,0.000396262,0.000396262,0.000396262
75,8017.83,0.8414,1.08257,0.51726,0.96646,0.91154,0.93086,0.95072,0.73316,0.91596,0.93531,0.95379,0.68503,0.89016,1.17053,0.50638,1.01628,0.000382115,0.000382115,0.000382115
76,8124.28,0.86169,1.07847,0.53296,0.98211,0.9218,0.92642,0.94627,0.7265,0.92506,0.92864,0.94682,0.67151,0.89746,1.21576,0.50543,1.02257,0.000367967,0.000367967,0.000367967
77,8230.62,0.84501,1.04483,0.51552,0.97731,0.89273,0.92074,0.94752,0.72224,0.90338,0.93136,0.95161,0.67017,0.91471,1.24547,0.53366,1.03823,0.00035382,0.00035382,0.00035382
78,8337.35,0.85012,1.07744,0.51693,0.97034,0.90968,0.93524,0.95152,0.73593,0.91773,0.94364,0.95938,0.68555,0.90181,1.13675,0.51503,1.01543,0.000339673,0.000339673,0.000339673
79,8443.98,0.85957,1.06436,0.51948,0.9811,0.91625,0.92025,0.94995,0.7377,0.91852,0.92247,0.95101,0.68426,0.89229,1.2266,0.49882,1.01289,0.000325526,0.000325526,0.000325526
80,8550.95,0.83262,1.07372,0.50589,0.97096,0.91178,0.92691,0.9511,0.73157,0.91999,0.93531,0.95693,0.68927,0.87818,1.19247,0.50404,1.0044,0.000311379,0.000311379,0.000311379
81,8657.52,0.82779,1.06433,0.51387,0.97033,0.91635,0.93295,0.95292,0.73675,0.91857,0.93517,0.95756,0.68832,0.88599,1.15739,0.51118,1.00918,0.000297232,0.000297232,0.000297232
82,8763.76,0.82542,1.04178,0.50211,0.96896,0.92694,0.92469,0.95443,0.74399,0.92767,0.936,0.96223,0.69487,0.8654,1.13883,0.48948,1.00045,0.000283085,0.000283085,0.000283085
83,8870.48,0.81334,1.02865,0.49376,0.96311,0.93613,0.91833,0.95071,0.73151,0.93842,0.92055,0.95493,0.6804,0.89581,1.19694,0.50954,1.01892,0.000268938,0.000268938,0.000268938
84,8976.67,0.80791,1.06292,0.49112,0.95889,0.91168,0.91802,0.94848,0.74115,0.91765,0.9242,0.95321,0.68015,0.87356,1.17838,0.50229,1.01181,0.000254791,0.000254791,0.000254791
85,9083.1,0.80713,1.0393,0.49199,0.94582,0.93456,0.92625,0.95585,0.74,0.94296,0.93464,0.95714,0.6897,0.87731,1.13219,0.49026,1.00843,0.000240644,0.000240644,0.000240644
86,9189.92,0.81902,1.03922,0.49603,0.95675,0.93361,0.92679,0.95529,0.73814,0.93982,0.93879,0.96523,0.68063,0.8729,1.16551,0.49663,1.00952,0.000226497,0.000226497,0.000226497
87,9296.56,0.80427,1.04234,0.48492,0.94617,0.91864,0.93292,0.95777,0.74468,0.92086,0.93514,0.96554,0.68916,0.87096,1.1839,0.49652,1.00386,0.000212349,0.000212349,0.000212349
88,9402.92,0.8116,1.02142,0.49384,0.96652,0.93256,0.92864,0.95868,0.73677,0.92217,0.93818,0.96652,0.67607,0.89166,1.21137,0.49399,1.0142,0.000198202,0.000198202,0.000198202
89,9509.3,0.80166,1.00788,0.49072,0.95955,0.92717,0.93333,0.9568,0.75434,0.91736,0.93725,0.95878,0.69206,0.85585,1.16579,0.48812,0.99764,0.000184055,0.000184055,0.000184055
90,9615.77,0.79064,1.02055,0.47824,0.95297,0.92512,0.92642,0.95648,0.7473,0.91899,0.92065,0.95891,0.69217,0.86497,1.17622,0.48934,0.99725,0.000169908,0.000169908,0.000169908
91,9719.37,0.75039,0.96255,0.44614,0.94951,0.914,0.92914,0.95231,0.73741,0.92325,0.94593,0.95873,0.68213,0.86666,1.17143,0.49272,1.00434,0.000155761,0.000155761,0.000155761
92,9822.64,0.71656,0.93555,0.41477,0.93412,0.91915,0.92969,0.95256,0.72909,0.91949,0.9348,0.95417,0.67042,0.88293,1.2033,0.50418,1.02139,0.000141614,0.000141614,0.000141614
93,9925.87,0.72681,0.93161,0.42489,0.9344,0.89841,0.93541,0.94945,0.73565,0.91599,0.95481,0.96029,0.67717,0.8812,1.20032,0.50864,1.01213,0.000127467,0.000127467,0.000127467
94,10029,0.69438,0.89187,0.40925,0.91801,0.92541,0.92198,0.95332,0.74088,0.93724,0.93704,0.96252,0.68801,0.86782,1.1959,0.49808,1.00633,0.00011332,0.00011332,0.00011332
95,10132.3,0.68194,0.87481,0.39818,0.92069,0.92568,0.92198,0.9562,0.7384,0.93814,0.93538,0.96431,0.68664,0.88313,1.1929,0.4953,1.01617,9.91726e-05,9.91726e-05,9.91726e-05
96,10235.4,0.69067,0.89577,0.40304,0.92218,0.92743,0.92642,0.95538,0.7446,0.92972,0.92864,0.95762,0.68351,0.88359,1.20332,0.49915,1.01811,8.50255e-05,8.50255e-05,8.50255e-05
97,10338.4,0.67638,0.90177,0.40846,0.91426,0.92868,0.92372,0.95672,0.74733,0.93939,0.93431,0.96403,0.68967,0.87514,1.20714,0.4871,1.01775,7.08784e-05,7.08784e-05,7.08784e-05
98,10441.4,0.67948,0.88437,0.39686,0.92023,0.9292,0.92864,0.9571,0.74866,0.93379,0.93309,0.95936,0.68591,0.87151,1.19243,0.47992,1.01039,5.67313e-05,5.67313e-05,5.67313e-05
99,10544.8,0.67946,0.89065,0.39631,0.91316,0.92963,0.92864,0.95642,0.74744,0.93193,0.93086,0.95694,0.68648,0.87175,1.19412,0.48445,1.01178,4.25842e-05,4.25842e-05,4.25842e-05
100,10648.4,0.68721,0.89343,0.40279,0.92075,0.92712,0.92864,0.95583,0.74398,0.9294,0.93086,0.95651,0.68268,0.87249,1.19846,0.48627,1.01397,2.84371e-05,2.84371e-05,2.84371e-05
