epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,882.916,0.97654,1.30146,0.76553,1.05036,0.91683,0.84608,0.90693,0.6209,0.89322,0.91806,0.93102,0.56941,1.16981,1.61221,0.83448,1.19214,0.000608468,0.000608468,0.000608468
31,914.105,1.00259,1.33498,0.78001,1.06504,0.90618,0.89683,0.91953,0.61431,0.90618,0.89683,0.91925,0.53707,1.15301,1.67174,0.83894,1.16305,0.000580174,0.000580174,0.000580174
32,943.467,0.95059,1.26436,0.75853,1.05256,0.84874,0.84664,0.86844,0.61182,0.84162,0.91877,0.92182,0.52825,1.10464,1.70934,0.86298,1.13785,0.00055188,0.00055188,0.00055188
33,972.84,0.96001,1.25611,0.7451,1.04147,0.7856,0.90873,0.85238,0.60317,0.83632,0.95865,0.91407,0.53589,1.07861,1.71015,0.89724,1.13485,0.000523586,0.000523586,0.000523586
34,1001.69,0.96039,1.25834,0.74656,1.04168,0.74548,0.86111,0.80268,0.52259,0.80464,0.9246,0.87312,0.49543,1.2353,1.66656,1.03775,1.23876,0.000495291,0.000495291,0.000495291
35,1031.27,0.9519,1.3245,0.76765,1.05272,0.78504,0.86485,0.82488,0.55535,0.86099,0.93545,0.90964,0.50554,1.17171,1.73479,0.98307,1.2105,0.000466997,0.000466997,0.000466997
36,1060.16,0.99208,1.27854,0.76108,1.08155,0.80239,0.87336,0.86488,0.56931,0.82243,0.899,0.8767,0.50689,1.13304,1.78472,0.97597,1.17798,0.000438703,0.000438703,0.000438703
37,1089.58,0.93622,1.21486,0.73309,1.0374,0.82631,0.8161,0.85963,0.56648,0.82505,0.87202,0.89005,0.51933,1.1968,1.79941,0.99201,1.20218,0.000410409,0.000410409,0.000410409
38,1118.84,0.91878,1.20771,0.71683,1.04428,0.8288,0.85222,0.85599,0.57117,0.81496,0.96429,0.92028,0.53498,1.20677,1.74585,0.95183,1.20844,0.000382115,0.000382115,0.000382115
39,1147.92,0.93036,1.21686,0.71437,1.02003,0.89395,0.85326,0.88474,0.56562,0.91733,0.87609,0.90996,0.52863,1.16588,1.65561,0.94328,1.17511,0.00035382,0.00035382,0.00035382
40,1176.89,0.95306,1.23234,0.75238,1.04537,0.85368,0.88889,0.8853,0.59563,0.87695,0.91244,0.91475,0.55503,1.09859,1.56427,0.93612,1.1213,0.000325526,0.000325526,0.000325526
41,1205.27,0.84304,1.06743,0.69397,1.00323,0.85666,0.8742,0.90835,0.62583,0.90208,0.86508,0.91287,0.568,1.05966,1.54861,0.86953,1.09893,0.000297232,0.000297232,0.000297232
42,1233.2,0.82484,1.11967,0.65696,0.99489,0.8467,0.9127,0.90582,0.61065,0.85799,0.9246,0.90872,0.55757,1.09802,1.57648,0.85983,1.12886,0.000268938,0.000268938,0.000268938
43,1261.6,0.77846,1.03195,0.62045,0.97403,0.857,0.91501,0.91397,0.63532,0.85931,0.90746,0.91381,0.56171,1.06936,1.5956,0.84049,1.10725,0.000240644,0.000240644,0.000240644
44,1289.34,0.84294,1.03375,0.64102,1.00968,0.85291,0.90996,0.90217,0.63424,0.89015,0.94945,0.92985,0.57385,1.06103,1.61542,0.85575,1.09745,0.000212349,0.000212349,0.000212349
45,1316.23,0.81197,1.07925,0.62082,0.99874,0.83739,0.93651,0.91204,0.63377,0.83739,0.93651,0.9041,0.57026,1.08193,1.62185,0.82068,1.11048,0.000184055,0.000184055,0.000184055
46,1344.94,0.81208,1.06813,0.638,0.99698,0.80227,0.90873,0.89012,0.6239,0.85763,0.89683,0.90496,0.56734,1.09896,1.61848,0.80383,1.12578,0.000155761,0.000155761,0.000155761
47,1372.91,0.79977,1.07896,0.6293,0.99963,0.78669,0.90873,0.88319,0.62871,0.86536,0.89683,0.90416,0.55492,1.08346,1.62154,0.7922,1.11126,0.000127467,0.000127467,0.000127467
48,1401.39,0.79132,1.01577,0.61216,0.9798,0.78709,0.90873,0.87657,0.61894,0.84817,0.91684,0.89744,0.5485,1.10857,1.65213,0.79916,1.12782,9.91726e-05,9.91726e-05,9.91726e-05
49,1429.55,0.73838,1.0046,0.58344,0.94941,0.76473,0.90873,0.8668,0.60189,0.82933,0.92392,0.89319,0.54537,1.13699,1.67665,0.82729,1.14562,7.08784e-05,7.08784e-05,7.08784e-05
50,1458.04,0.7633,1.02627,0.59399,0.97781,0.76871,0.90873,0.86681,0.60327,0.82316,0.93184,0.89538,0.54875,1.13643,1.68925,0.82713,1.14691,4.25842e-05,4.25842e-05,4.25842e-05
