epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.816,1.74339,2.94637,2.68856,1.46275,0.97283,0.13338,0.4013,0.25406,0.97283,0.13338,0.40372,0.24053,1.31495,2.4083,2.98136,1.22891,0.000470147,0.000470147,0.000470147
2,329.029,1.58955,2.36267,1.70577,1.34757,0.69754,0.67101,0.69478,0.42142,0.68492,0.66064,0.68046,0.39064,1.30978,2.15479,1.59902,1.28896,0.00093711,0.00093711,0.00093711
3,486.154,1.54752,2.2148,1.4655,1.32923,0.62978,0.65932,0.64168,0.39232,0.62978,0.65932,0.64388,0.34985,1.35299,2.53704,1.55688,1.3501,0.00139464,0.00139464,0.00139464
4,642.576,1.48648,2.1703,1.35831,1.28895,0.73169,0.6665,0.70893,0.4192,0.77099,0.66056,0.70906,0.37265,1.3717,2.33577,1.35579,1.31072,0.00138656,0.00138656,0.00138656
5,801.475,1.44963,2.12116,1.25691,1.27178,0.77784,0.75511,0.77666,0.46741,0.77098,0.72575,0.73339,0.42343,1.29232,2.2571,1.08446,1.29414,0.00137241,0.00137241,0.00137241
6,957.401,1.46455,2.09773,1.20905,1.28189,0.8333,0.77856,0.82395,0.51921,0.83763,0.78831,0.83154,0.49978,1.26373,1.79087,1.06169,1.23966,0.00135826,0.00135826,0.00135826
7,1112.72,1.38557,1.97567,1.1059,1.25182,0.81644,0.74936,0.78661,0.50849,0.82237,0.75511,0.78714,0.44749,1.28091,1.93056,1.00213,1.27254,0.00134412,0.00134412,0.00134412
8,1267.58,1.40377,1.92598,1.07872,1.24491,0.83853,0.84866,0.8594,0.55231,0.83393,0.84515,0.84644,0.52541,1.21964,1.87857,0.86367,1.21303,0.00132997,0.00132997,0.00132997
9,1422.35,1.38431,1.88723,1.04384,1.23585,0.85483,0.76692,0.80396,0.52711,0.9118,0.75602,0.80195,0.49133,1.22003,1.82963,0.88876,1.20048,0.00131582,0.00131582,0.00131582
10,1577.37,1.37951,1.8989,1.03584,1.23318,0.88291,0.79789,0.82887,0.55691,0.88809,0.79981,0.83073,0.50745,1.13986,1.81551,0.86649,1.16032,0.00130168,0.00130168,0.00130168
11,1731.75,1.34782,1.88999,1.00339,1.22044,0.81799,0.83881,0.87117,0.59419,0.8244,0.85408,0.87517,0.55676,1.1294,1.6578,0.8084,1.17476,0.00128753,0.00128753,0.00128753
12,1886.41,1.32204,1.83452,0.99313,1.20671,0.83085,0.85571,0.84596,0.56452,0.83244,0.85856,0.85639,0.53539,1.20441,1.74901,0.85259,1.18583,0.00127338,0.00127338,0.00127338
13,2041.58,1.35577,1.84303,1.0053,1.22432,0.87412,0.78394,0.822,0.55797,0.87412,0.78394,0.81541,0.51881,1.1454,1.83005,0.82646,1.19299,0.00125923,0.00125923,0.00125923
14,2196.06,1.31642,1.82917,0.96419,1.20634,0.84373,0.85786,0.85336,0.57944,0.84958,0.86361,0.86071,0.54604,1.1601,1.69381,0.77431,1.1794,0.00124509,0.00124509,0.00124509
15,2350.59,1.28981,1.7874,0.92191,1.17749,0.89048,0.87107,0.90562,0.61929,0.88684,0.86723,0.89971,0.56761,1.13077,1.84451,0.69815,1.16641,0.00123094,0.00123094,0.00123094
16,2505.17,1.27961,1.78986,0.91472,1.18357,0.85275,0.85473,0.87925,0.58134,0.85506,0.85799,0.88078,0.55856,1.12583,1.66726,0.80057,1.1351,0.00121679,0.00121679,0.00121679
17,2660.1,1.26803,1.72384,0.88473,1.17332,0.89973,0.86984,0.87694,0.59537,0.90067,0.86949,0.88534,0.58991,1.15605,1.62739,0.70492,1.15815,0.00120265,0.00120265,0.00120265
18,2814.44,1.26121,1.69286,0.89515,1.17021,0.82817,0.83666,0.84288,0.57289,0.84342,0.84939,0.85329,0.55031,1.20351,1.75832,0.77885,1.17664,0.0011885,0.0011885,0.0011885
19,2968.95,1.28731,1.73706,0.88991,1.18069,0.83181,0.84113,0.86945,0.58965,0.8756,0.80972,0.86967,0.56022,1.16983,1.73348,0.76737,1.1667,0.00117435,0.00117435,0.00117435
20,3123.8,1.25262,1.74232,0.87295,1.17079,0.82139,0.86503,0.87724,0.61564,0.82494,0.86886,0.8782,0.56542,1.09806,1.72065,0.74322,1.1525,0.00116021,0.00116021,0.00116021
21,3278.59,1.22978,1.68045,0.86818,1.15423,0.82392,0.898,0.88164,0.61596,0.82411,0.88577,0.88064,0.57395,1.11486,1.7128,0.73404,1.14263,0.00114606,0.00114606,0.00114606
22,3433.25,1.23695,1.67062,0.8598,1.16256,0.80785,0.88609,0.8583,0.58693,0.81308,0.8911,0.85845,0.54943,1.12897,1.67684,0.75101,1.12977,0.00113191,0.00113191,0.00113191
23,3587.7,1.22891,1.69131,0.87655,1.14999,0.85201,0.86143,0.88498,0.60107,0.85389,0.86335,0.88407,0.57298,1.11048,1.65505,0.70055,1.14188,0.00111776,0.00111776,0.00111776
24,3742.03,1.24416,1.69603,0.86172,1.16843,0.87254,0.8742,0.88601,0.60489,0.8744,0.87612,0.8852,0.57364,1.15018,1.66736,0.7148,1.1636,0.00110362,0.00110362,0.00110362
25,3897.21,1.21701,1.69162,0.8573,1.15648,0.91117,0.86847,0.90159,0.62534,0.91585,0.87054,0.90242,0.58261,1.10732,1.64089,0.66939,1.12007,0.00108947,0.00108947,0.00108947
26,4049.93,1.19142,1.63747,0.851,1.13744,0.87893,0.86349,0.90087,0.62969,0.88077,0.86541,0.89986,0.58729,1.0713,1.66787,0.66814,1.11719,0.00107532,0.00107532,0.00107532
27,4202.05,1.20786,1.6679,0.85433,1.14101,0.83242,0.88089,0.86727,0.57503,0.83132,0.89227,0.86603,0.53995,1.12596,1.79798,0.69757,1.16321,0.00106118,0.00106118,0.00106118
28,4355.1,1.20655,1.671,0.82494,1.14991,0.86667,0.89215,0.90914,0.64443,0.86951,0.8924,0.91202,0.60039,1.03572,1.57841,0.64917,1.10132,0.00104703,0.00104703,0.00104703
29,4507.6,1.16747,1.58309,0.78718,1.12485,0.88973,0.88728,0.89342,0.61716,0.89348,0.89111,0.89648,0.57747,1.10972,1.68316,0.66273,1.13006,0.00103288,0.00103288,0.00103288
30,4659.47,1.18479,1.60561,0.79923,1.13289,0.84399,0.88957,0.89244,0.64316,0.8488,0.8931,0.88929,0.59893,1.06013,1.69865,0.64989,1.11109,0.00101873,0.00101873,0.00101873
31,4811.66,1.17722,1.62263,0.80496,1.12656,0.86139,0.90186,0.88425,0.62155,0.8627,0.89964,0.88536,0.57625,1.0519,1.64784,0.6554,1.10673,0.00100459,0.00100459,0.00100459
32,4963.55,1.18231,1.58107,0.80152,1.12967,0.86185,0.89407,0.89763,0.63484,0.86571,0.8979,0.8993,0.60102,1.09207,1.59983,0.62065,1.13202,0.00099044,0.00099044,0.00099044
33,5115.48,1.15658,1.59451,0.7963,1.11423,0.87391,0.89638,0.87969,0.6131,0.87777,0.90021,0.88266,0.5771,1.1382,1.62558,0.65078,1.14189,0.000976293,0.000976293,0.000976293
34,5267.76,1.15861,1.57475,0.77889,1.12889,0.88666,0.83621,0.87186,0.61336,0.89235,0.84195,0.87426,0.573,1.08354,1.64698,0.6904,1.10602,0.000962146,0.000962146,0.000962146
35,5419.55,1.18955,1.58265,0.79737,1.12709,0.89149,0.8209,0.88618,0.6298,0.89343,0.82282,0.88414,0.58816,1.08168,1.57956,0.65462,1.11657,0.000947999,0.000947999,0.000947999
36,5571.22,1.15602,1.58158,0.78562,1.12151,0.8745,0.89208,0.90327,0.63908,0.87893,0.89591,0.90162,0.59932,1.06183,1.5714,0.62817,1.11456,0.000933851,0.000933851,0.000933851
37,5723.58,1.17778,1.57839,0.77206,1.12749,0.87657,0.86004,0.88805,0.62184,0.87657,0.86004,0.88759,0.59222,1.08917,1.5756,0.64134,1.12933,0.000919704,0.000919704,0.000919704
38,5875.63,1.14941,1.57505,0.77051,1.1177,0.86502,0.91507,0.91271,0.64778,0.86474,0.92076,0.91164,0.61419,1.05776,1.60465,0.62154,1.09892,0.000905557,0.000905557,0.000905557
39,6027.91,1.14742,1.56989,0.78675,1.12413,0.88552,0.86494,0.89668,0.64906,0.88976,0.86877,0.89783,0.5842,1.01651,1.62046,0.62047,1.10093,0.00089141,0.00089141,0.00089141
40,6180.34,1.12618,1.53341,0.74,1.10358,0.88034,0.89655,0.90764,0.63121,0.88224,0.89847,0.90389,0.60802,1.08855,1.58719,0.61135,1.10764,0.000877263,0.000877263,0.000877263
41,6332.84,1.11926,1.50482,0.73399,1.09794,0.84705,0.89885,0.89925,0.63781,0.84886,0.90097,0.90166,0.60117,1.05587,1.61325,0.61174,1.11639,0.000863116,0.000863116,0.000863116
42,6485.13,1.11948,1.5202,0.75684,1.10057,0.89808,0.83931,0.86704,0.62222,0.89999,0.84123,0.8643,0.57842,1.09147,1.76171,0.63967,1.11674,0.000848969,0.000848969,0.000848969
43,6637.32,1.11646,1.492,0.73503,1.10433,0.87906,0.90996,0.90306,0.64675,0.88265,0.91379,0.90663,0.61327,1.03019,1.58959,0.59279,1.09971,0.000834822,0.000834822,0.000834822
44,6789.38,1.11849,1.49104,0.74401,1.11134,0.86057,0.91675,0.89892,0.64569,0.86236,0.91866,0.89678,0.60052,1.05504,1.63435,0.59622,1.10757,0.000820675,0.000820675,0.000820675
45,6941.78,1.11498,1.48937,0.72129,1.10013,0.85455,0.91773,0.90462,0.6265,0.8918,0.8774,0.90895,0.60666,1.14786,1.52178,0.61702,1.12335,0.000806528,0.000806528,0.000806528
46,7093.97,1.0951,1.49456,0.72453,1.1051,0.87283,0.88953,0.90305,0.62533,0.87499,0.89091,0.89788,0.59102,1.09603,1.59113,0.60652,1.10534,0.00079238,0.00079238,0.00079238
47,7245.57,1.10414,1.49056,0.71902,1.08268,0.86866,0.92193,0.90893,0.65398,0.87442,0.91812,0.91077,0.61214,1.0684,1.53695,0.60583,1.09729,0.000778233,0.000778233,0.000778233
48,7397.75,1.09019,1.4933,0.72405,1.08994,0.88797,0.89464,0.88606,0.61583,0.89372,0.90038,0.89086,0.5758,1.05181,1.622,0.6435,1.11773,0.000764086,0.000764086,0.000764086
49,7549.62,1.08085,1.46744,0.71582,1.08197,0.90667,0.89112,0.90535,0.63553,0.91248,0.89687,0.90868,0.60048,1.05638,1.54223,0.61146,1.09307,0.000749939,0.000749939,0.000749939
50,7702.17,1.07238,1.47271,0.70115,1.08349,0.86246,0.90172,0.90688,0.62668,0.86434,0.90364,0.90844,0.59128,1.13066,1.57838,0.6308,1.12384,0.000735792,0.000735792,0.000735792
51,7854.58,1.06172,1.43952,0.7008,1.07475,0.89156,0.9125,0.9016,0.63275,0.89339,0.91442,0.90271,0.59101,1.05269,1.57957,0.60163,1.1001,0.000721645,0.000721645,0.000721645
52,8006.48,1.07766,1.44601,0.72376,1.08519,0.87115,0.90397,0.89523,0.64373,0.87486,0.9078,0.89124,0.59212,1.06847,1.5961,0.61855,1.10256,0.000707498,0.000707498,0.000707498
53,8158.23,1.07247,1.46181,0.70531,1.08198,0.89883,0.90613,0.90968,0.64863,0.90069,0.90805,0.90482,0.61135,1.02023,1.53062,0.5784,1.06837,0.000693351,0.000693351,0.000693351
54,8310.16,1.04941,1.43088,0.67507,1.07077,0.87363,0.87672,0.89767,0.63263,0.87305,0.8771,0.8931,0.58252,1.02462,1.68643,0.59442,1.10188,0.000679204,0.000679204,0.000679204
55,8462.21,1.06122,1.42845,0.67418,1.0751,0.88496,0.90571,0.89739,0.64146,0.88496,0.90571,0.89441,0.60219,1.04027,1.58867,0.5872,1.08803,0.000665057,0.000665057,0.000665057
