epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.2744,1.84472,3.19622,3.2969,1.52376,0.00943,0.81967,0.23392,0.09238,0.00915,0.78473,0.22798,0.09753,1.4496,2.62197,3.57501,1.23307,0.00044299,0.00044299,0.00044299
2,134.581,1.58955,2.34339,1.95769,1.33615,0.00921,0.79115,0.4861,0.27213,0.00888,0.76722,0.48133,0.26388,1.55902,2.79937,3.36098,1.41397,0.000891357,0.000891357,0.000891357
3,197.741,1.50825,2.21168,1.66909,1.31341,0.69846,0.62472,0.73074,0.45716,0.71265,0.6145,0.72146,0.39185,1.25647,2.52063,2.28688,1.17235,0.00133067,0.00133067,0.00133067
4,260.724,1.45542,2.10191,1.46199,1.25801,0.80163,0.7461,0.82869,0.53598,0.77934,0.73139,0.79248,0.47324,1.25338,2.36185,1.44973,1.17059,0.00138656,0.00138656,0.00138656
5,334.332,1.42054,1.99761,1.41179,1.26142,0.76969,0.61489,0.68477,0.39904,0.72719,0.57403,0.60865,0.26548,1.4511,5.76861,1.63893,1.34297,0.00137241,0.00137241,0.00137241
6,423.372,1.38244,1.92425,1.30262,1.23005,0.75278,0.79867,0.83272,0.54955,0.78189,0.78093,0.82407,0.51152,1.19659,1.91165,1.2395,1.1528,0.00135826,0.00135826,0.00135826
7,511.181,1.3782,1.83171,1.2604,1.2336,0.79179,0.79343,0.83556,0.55118,0.81804,0.78932,0.84953,0.54046,1.14194,1.70351,1.56797,1.16025,0.00134412,0.00134412,0.00134412
8,599.032,1.32799,1.8067,1.15395,1.21023,0.83514,0.85816,0.87266,0.58477,0.83253,0.85683,0.85473,0.55343,1.12271,1.8628,1.04242,1.1114,0.00132997,0.00132997,0.00132997
9,685.751,1.29276,1.74503,1.06741,1.17353,0.80402,0.86467,0.88931,0.56097,0.85449,0.83602,0.87342,0.55096,1.34648,1.94263,1.00481,1.175,0.00131582,0.00131582,0.00131582
10,772.44,1.31935,1.68201,1.08358,1.21296,0.8512,0.79578,0.85711,0.58235,0.86104,0.80496,0.85637,0.55744,1.11813,1.71884,1.02799,1.08938,0.00130168,0.00130168,0.00130168
11,857.798,1.30231,1.71609,1.08468,1.18155,0.8113,0.78717,0.81524,0.53134,0.8204,0.80719,0.82045,0.5177,1.17301,1.98275,1.14996,1.16413,0.00128753,0.00128753,0.00128753
12,942.434,1.25864,1.63598,1.00168,1.15454,0.92127,0.83344,0.90008,0.60003,0.9072,0.83045,0.89552,0.59016,1.14445,1.74496,0.90952,1.10608,0.00127338,0.00127338,0.00127338
13,1028.19,1.25294,1.66666,0.9934,1.16619,0.82593,0.82796,0.85283,0.58033,0.81697,0.83072,0.85564,0.5621,1.08933,1.72962,0.90102,1.08717,0.00125923,0.00125923,0.00125923
14,1114.69,1.19631,1.60046,0.93907,1.13282,0.84011,0.84101,0.87852,0.60287,0.84383,0.82489,0.86098,0.55265,1.05516,1.70939,0.87703,1.05943,0.00124509,0.00124509,0.00124509
15,1201.76,1.23207,1.67423,0.95167,1.15483,0.85948,0.87117,0.89745,0.61046,0.86468,0.8767,0.89137,0.59066,1.09308,1.50446,0.83691,1.08387,0.00123094,0.00123094,0.00123094
16,1288.21,1.20853,1.66426,0.89093,1.13215,0.87248,0.86672,0.89052,0.61119,0.87941,0.8755,0.89909,0.59879,1.09021,1.51713,0.83833,1.09258,0.00121679,0.00121679,0.00121679
17,1374.2,1.16417,1.53993,0.89738,1.11876,0.82747,0.84088,0.87861,0.59773,0.82234,0.87864,0.89258,0.58723,1.09088,1.53463,0.89895,1.0981,0.00120265,0.00120265,0.00120265
18,1460.41,1.2201,1.54902,0.89347,1.1538,0.86389,0.88317,0.88646,0.61015,0.86813,0.88869,0.89627,0.58811,1.08146,1.45715,0.78859,1.10333,0.0011885,0.0011885,0.0011885
19,1546.72,1.15213,1.51977,0.83915,1.11559,0.83745,0.83518,0.85595,0.57742,0.85236,0.84682,0.86799,0.56932,1.14249,1.59515,0.84856,1.13037,0.00117435,0.00117435,0.00117435
20,1632.6,1.16466,1.52108,0.86204,1.12088,0.87586,0.85666,0.88037,0.61192,0.88144,0.86218,0.88135,0.57726,1.06877,1.77285,0.82478,1.09587,0.00116021,0.00116021,0.00116021
21,1718.89,1.14649,1.51904,0.81978,1.10649,0.88445,0.82285,0.88497,0.60713,0.89158,0.83242,0.89052,0.57783,1.11161,1.7899,0.79652,1.13982,0.00114606,0.00114606,0.00114606
22,1805.16,1.10191,1.40343,0.78215,1.08687,0.84176,0.90803,0.92378,0.64959,0.84541,0.90496,0.91599,0.61601,1.06253,1.48786,0.72324,1.08706,0.00113191,0.00113191,0.00113191
23,1890.9,1.10254,1.45701,0.77328,1.07132,0.89081,0.88124,0.90444,0.63362,0.90468,0.86421,0.89256,0.58799,1.07095,1.87139,0.7671,1.09454,0.00111776,0.00111776,0.00111776
24,1977.16,1.11129,1.47229,0.79806,1.09435,0.85534,0.83278,0.88531,0.6207,0.83616,0.8483,0.88367,0.59357,1.04911,1.60168,0.79145,1.09466,0.00110362,0.00110362,0.00110362
25,2063.5,1.10125,1.45726,0.78928,1.07981,0.89966,0.84333,0.89841,0.64919,0.9048,0.85074,0.90757,0.61369,1.03944,1.53373,0.75554,1.08184,0.00108947,0.00108947,0.00108947
26,2149.82,1.07456,1.40221,0.74698,1.07756,0.86429,0.88695,0.90295,0.64092,0.87059,0.88995,0.91107,0.62114,1.09463,1.50197,0.71125,1.08848,0.00107532,0.00107532,0.00107532
27,2235.57,1.09423,1.43389,0.75246,1.08695,0.88323,0.84635,0.88686,0.62298,0.90846,0.84409,0.87682,0.59129,1.08229,1.56812,0.75858,1.09078,0.00106118,0.00106118,0.00106118
28,2321.61,1.11361,1.43587,0.75498,1.09063,0.87535,0.87029,0.90082,0.63107,0.89357,0.88691,0.91391,0.60202,1.05122,1.43076,0.75649,1.08218,0.00104703,0.00104703,0.00104703
29,2408.1,1.09478,1.50287,0.77029,1.07569,0.82797,0.88684,0.86028,0.60131,0.83504,0.89333,0.86709,0.57744,1.03089,1.40417,0.74736,1.07962,0.00103288,0.00103288,0.00103288
30,2494.28,1.07772,1.41705,0.73645,1.07873,0.88031,0.89193,0.91515,0.64141,0.89069,0.89789,0.90433,0.59479,0.99327,1.53224,0.70859,1.05412,0.00101873,0.00101873,0.00101873
31,2580.31,1.04948,1.40476,0.72072,1.06026,0.85395,0.86842,0.8685,0.60841,0.86323,0.87577,0.87532,0.57475,1.05859,1.51926,0.72171,1.11912,0.00100459,0.00100459,0.00100459
